stay_year,stay_month_num,season,room_name,regime,strategy,current_adr,recommended_price_change_pct,recommended_adr,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,revpar_change_pct,actual_revenue,optimized_revenue,incremental_revenue_eur,room_nights,available_room_nights,conversion_pct,avg_los,elasticity_proxy,elasticity_source,elasticity_observations,confidence,reason
2025,7,PEAK,Appartamento Area Piscina,PRICE_POWER,HOLD,223.25,0.0,223.25,94.27,94.27,210.44,210.44,0.0,117427.9,117427.9,0.0,526.0,558.0,3.85,7.41,0.829,OBSERVED,2,HIGH,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (210.44 -> 210.44) under the estimated price-volume response.
2025,8,PEAK,Appartamento Area Piscina,PRICE_POWER,HOLD,229.89,0.0,229.89,100.9,100.9,231.95,231.95,0.0,129428.18,129428.18,0.0,563.0,558.0,3.37,7.61,0.721,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (231.95 -> 231.95) under the estimated price-volume response.
2024,6,SHOULDER,Camera  Standard,PRICE_POWER,HOLD,106.24,0.0,106.24,119.52,119.52,126.99,126.99,0.0,53334.16,53334.16,0.0,502.0,420.0,5.47,6.28,1.161,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (126.99 -> 126.99) under the estimated price-volume response.
2024,6,SHOULDER,Appartamento Area Piscina,PRICE_POWER,HOLD,170.42,0.0,170.42,87.78,87.78,149.59,149.59,0.0,80777.0,80777.0,0.0,474.0,540.0,4.62,5.85,1.775,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (149.59 -> 149.59) under the estimated price-volume response.
2026,7,PEAK,Appartamento Area Giardino,PRICE_POWER,HOLD,179.85,0.0,179.85,94.12,94.12,169.28,169.28,0.0,146935.23,146935.23,0.0,817.0,868.0,3.67,7.23,0.78,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (169.28 -> 169.28) under the estimated price-volume response.
2025,7,PEAK,Appartamento Area Giardino,PRICE_POWER,HOLD,155.0,0.0,155.0,87.9,87.9,136.25,136.25,0.0,118266.51,118266.51,0.0,763.0,868.0,3.55,7.55,0.78,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (136.25 -> 136.25) under the estimated price-volume response.
2024,8,PEAK,Camera Deluxe,PRICE_POWER,HOLD,352.55,0.0,352.55,125.16,125.16,441.26,441.26,0.0,68395.0,68395.0,0.0,194.0,155.0,2.28,6.93,0.25,PRIOR,0,LOW,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (441.26 -> 441.26) under the estimated price-volume response.
2025,11,OTHER,Camera Deluxe,VOLUME_OPPORTUNITY,HOLD,0.0,0.0,0.0,1.33,1.33,0.0,0.0,,0.0,0.0,0.0,2.0,150.0,,1.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected +0% because it maximizes modeled RevPAR (0.00 -> 0.00) under the estimated price-volume response.
2025,7,PEAK,Camera Superior,PRICE_POWER,HOLD,194.59,0.0,194.59,107.66,107.66,209.49,209.49,0.0,51954.52,51954.52,0.0,267.0,248.0,2.92,5.34,0.165,OBSERVED,2,HIGH,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (209.49 -> 209.49) under the estimated price-volume response.
2026,7,PEAK,Camera Superior,PRICE_POWER,HOLD,262.92,0.0,262.92,106.85,106.85,280.94,280.94,0.0,69673.71,69673.71,0.0,265.0,248.0,2.39,6.16,0.165,OBSERVED,2,HIGH,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (280.94 -> 280.94) under the estimated price-volume response.
2024,8,PEAK,Camera Superior,PRICE_POWER,HOLD,281.01,0.0,281.01,99.6,99.6,279.88,279.88,0.0,69409.5,69409.5,0.0,247.0,248.0,3.16,6.33,0.961,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (279.88 -> 279.88) under the estimated price-volume response.
2025,8,PEAK,Suite Familiare,VOLUME_OPPORTUNITY,HOLD,232.86,0.0,232.86,22.58,22.58,52.58,52.58,0.0,1630.0,1630.0,0.0,7.0,31.0,1.92,2.33,0.751,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected +0% because it maximizes modeled RevPAR (52.58 -> 52.58) under the estimated price-volume response.
2024,8,PEAK,Suite Familiare,VOLUME_OPPORTUNITY,HOLD,498.0,0.0,498.0,16.13,16.13,80.32,80.32,0.0,2490.0,2490.0,0.0,5.0,31.0,0.0,5.0,0.751,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected +0% because it maximizes modeled RevPAR (80.32 -> 80.32) under the estimated price-volume response.
2026,6,SHOULDER,Suite Familiare,PRICE_POWER,HOLD,248.51,0.0,248.51,103.33,103.33,256.8,256.8,0.0,7703.95,7703.95,0.0,31.0,30.0,3.23,6.2,0.25,PRIOR,0,LOW,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (256.80 -> 256.80) under the estimated price-volume response.
