stay_year,stay_month_num,season,room_name,arrangement_name,bookings,room_nights,revenue,guests,avg_los,avg_lead_days,realized_total_adr,treatment_mix_pct
2025,8,PEAK,Villino 2Ten,Mezza Pensione,1,1,0.0,2,1.0,6.0,0.0,33.333333333333336
2024,9,SHOULDER,Villino 2Ten,Mezza Pensione,1,7,990.0,2,7.0,172.0,141.42857142857142,100.0
2026,5,SHOULDER,Villino 2Ten,Pensione Completa,2,5,561.0,4,2.5,26.0,112.2,100.0
2024,6,SHOULDER,Villino 2Ten,Pensione Completa,4,21,2280.0,10,5.25,51.0,108.57142857142857,100.0
2025,6,SHOULDER,Villino 2Ten,Pensione Completa,2,14,1190.0,4,7.0,82.0,85.0,100.0
2026,6,SHOULDER,Villino 2Ten,Pensione Completa,2,14,2800.0,4,7.0,42.5,200.0,50.0
2024,7,PEAK,Villino 2Ten,Pensione Completa,1,7,0.0,2,7.0,0.0,0.0,50.0
2025,7,PEAK,Villino 2Ten,Pensione Completa,1,1,0.0,3,1.0,30.0,0.0,50.0
2024,8,PEAK,Villino 2Ten,Pensione Completa,5,31,5860.5,11,6.2,43.2,189.0483870967742,83.33333333333333
2025,8,PEAK,Villino 2Ten,Pensione Completa,2,22,8295.15,4,11.0,43.0,377.05227272727274,66.66666666666667
2026,5,SHOULDER,Villino Double,Mezza Pensione,1,2,341.9,4,2.0,19.0,170.95,50.0
2024,6,SHOULDER,Villino Double,Mezza Pensione,1,7,1763.0,4,7.0,63.0,251.85714285714286,33.333333333333336
2025,7,PEAK,Villino Double,Mezza Pensione,2,15,5208.05,8,7.5,28.5,347.2033333333333,40.0
2026,7,PEAK,Villino Double,Mezza Pensione,2,14,4586.15,8,7.0,93.5,327.58214285714286,66.66666666666667
2024,8,PEAK,Villino Double,Mezza Pensione,1,14,6590.0,4,14.0,238.0,470.7142857142857,33.333333333333336
2025,8,PEAK,Villino Double,Mezza Pensione,2,8,2020.0,7,4.0,3.0,252.5,40.0
2024,9,SHOULDER,Villino Double,Mezza Pensione,1,5,1641.0,4,5.0,45.0,328.2,33.333333333333336
2026,5,SHOULDER,Villino Double,Pensione Completa,1,3,210.0,4,3.0,27.0,70.0,50.0
2024,6,SHOULDER,Villino Double,Pensione Completa,2,14,4223.5,8,7.0,96.0,301.67857142857144,66.66666666666667
2025,6,SHOULDER,Villino Double,Pensione Completa,1,7,2876.5,4,7.0,118.0,410.92857142857144,100.0
2026,6,SHOULDER,Villino Double,Pensione Completa,3,23,6425.0,10,7.666666666666667,103.0,279.3478260869565,100.0
2024,7,PEAK,Villino Double,Pensione Completa,2,21,8630.5,8,10.5,57.0,410.9761904761905,100.0
2025,7,PEAK,Villino Double,Pensione Completa,3,10,1325.0,7,3.3333333333333335,3.6666666666666665,132.5,60.0
2026,7,PEAK,Villino Double,Pensione Completa,1,9,3613.05,4,9.0,101.0,401.45000000000005,33.333333333333336
2024,8,PEAK,Villino Double,Pensione Completa,2,15,5457.0,8,7.5,14.5,363.8,66.66666666666667
2025,8,PEAK,Villino Double,Pensione Completa,3,20,3460.0,12,6.666666666666667,45.0,173.0,60.0
2024,9,SHOULDER,Villino Double,Pensione Completa,2,9,1630.0,6,4.5,46.5,181.11111111111111,66.66666666666667
2025,9,SHOULDER,Villino Double,Pensione Completa,2,2,0.0,8,1.0,3.0,0.0,100.0
