stay_year,stay_month,season_band,arrangement_code,arrangement_name,booking_window_band,confirmed_bookings,revenue,avg_adr,avg_los,avg_booking_window,comparability_group,reliability
2025,2025-07,PEAK,HB,Mezza Pensione,8-14,20,25151.63,259.24,4.7,11.2,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,HB,Mezza Pensione,15-30,23,32468.19,234.76,5.61,22.09,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,HB,Mezza Pensione,31-60,25,39089.07,227.09,6.76,44.76,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,HB,Mezza Pensione,61-90,18,27806.65,228.21,6.5,73.11,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,HB,Mezza Pensione,91-180,39,60241.99,206.13,7.18,122.23,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-07,PEAK,HB,Mezza Pensione,181+,1,3790.0,270.71,14.0,227.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,OB,Only Bed,0-7,1,133.0,33.25,4.0,6.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,OB,Only Bed,8-14,2,648.0,108.0,5.0,12.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,OB,Only Bed,61-90,1,0.0,0.0,30.0,72.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,OB,Only Bed,91-180,32,20031.98,69.85,9.62,130.69,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-08,PEAK,BB,Bed & Breakfast,0-7,18,11108.87,179.48,3.56,2.61,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,BB,Bed & Breakfast,8-14,4,4650.35,213.27,5.5,11.25,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,BB,Bed & Breakfast,15-30,13,7540.75,145.73,4.08,24.08,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,BB,Bed & Breakfast,31-60,9,9570.48,197.71,5.78,45.44,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,BB,Bed & Breakfast,61-90,3,4737.34,236.46,6.67,78.33,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,BB,Bed & Breakfast,91-180,22,21424.1,140.92,6.73,141.82,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,FB,Pensione Completa,0-7,23,18128.15,146.15,4.04,3.74,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,FB,Pensione Completa,8-14,11,16791.3,270.52,4.91,10.55,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,FB,Pensione Completa,15-30,11,8640.5,180.9,3.36,21.82,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,FB,Pensione Completa,31-60,11,19097.95,248.5,6.09,49.09,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,FB,Pensione Completa,61-90,10,22017.35,269.42,7.6,77.5,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,FB,Pensione Completa,91-180,9,17930.34,238.53,8.89,127.22,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,FB,Pensione Completa,181+,8,17503.5,289.48,7.75,232.62,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,HB,Mezza Pensione,0-7,22,24674.58,225.24,4.55,4.73,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,HB,Mezza Pensione,8-14,19,21668.25,244.26,4.42,9.95,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,HB,Mezza Pensione,15-30,15,17478.08,237.32,4.87,22.4,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,HB,Mezza Pensione,31-60,22,39120.1,286.57,6.36,45.45,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,HB,Mezza Pensione,61-90,22,53443.11,306.87,7.55,72.95,COMPARABLE_COMMERCIAL,LOW
2025,2025-08,PEAK,HB,Mezza Pensione,91-180,57,110145.4,236.61,8.32,137.18,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-08,PEAK,OB,Only Bed,0-7,1,0.0,0.0,7.0,1.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-08,PEAK,OB,Only Bed,8-14,1,1500.0,214.29,7.0,14.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
