stay_year,stay_month_num,season,booking_window,room_name,quoted_requests,converted_requests,same_room_converted,conversion_pct
2024,8,PEAK,61-90,Suite Familiare Vista Piscina,1,0,0,0.0
2024,8,PEAK,61-90,Villino 2Ten,7,0,0,0.0
2024,8,PEAK,61-90,Villino Double,4,0,0,0.0
2024,8,PEAK,8-14,Appartamento Area Giardino,27,3,3,11.11111111111111
2024,8,PEAK,8-14,Appartamento Area Piscina,20,3,1,5.0
2024,8,PEAK,8-14,Camera  Standard,46,1,0,0.0
2024,8,PEAK,8-14,Camera Deluxe,67,4,1,1.492537313432836
2024,8,PEAK,8-14,Camera Superior,41,7,6,14.634146341463415
2024,8,PEAK,8-14,Suite Familiare,4,0,0,0.0
2024,8,PEAK,8-14,Suite Familiare Vista Piscina,8,1,1,12.5
2024,8,PEAK,8-14,Villino 2Ten,1,0,0,0.0
2024,8,PEAK,91-180,Appartamento Area Giardino,115,6,4,3.4782608695652173
2024,8,PEAK,91-180,Appartamento Area Piscina,188,10,8,4.25531914893617
2024,8,PEAK,91-180,Camera  Standard,137,2,0,0.0
2024,8,PEAK,91-180,Camera Deluxe,98,5,4,4.081632653061225
2024,8,PEAK,91-180,Camera Superior,124,2,1,0.8064516129032258
2024,8,PEAK,91-180,Suite Familiare,1,0,0,0.0
2024,8,PEAK,91-180,Villino 2Ten,16,3,2,12.5
2024,8,PEAK,91-180,Villino Double,2,0,0,0.0
2024,9,SHOULDER,0-7,Appartamento Area Giardino,21,4,4,19.047619047619047
2024,9,SHOULDER,0-7,Appartamento Area Piscina,10,4,4,40.0
2024,9,SHOULDER,0-7,Camera  Standard,4,0,0,0.0
2024,9,SHOULDER,0-7,Camera Deluxe,1,1,1,100.0
2024,9,SHOULDER,0-7,Camera Superior,3,0,0,0.0
2024,9,SHOULDER,15-30,Appartamento Area Giardino,55,3,2,3.6363636363636362
2024,9,SHOULDER,15-30,Appartamento Area Piscina,34,3,3,8.823529411764707
2024,9,SHOULDER,15-30,Camera  Standard,85,4,3,3.5294117647058822
2024,9,SHOULDER,15-30,Camera Deluxe,14,0,0,0.0
2024,9,SHOULDER,15-30,Camera Superior,16,0,0,0.0
2024,9,SHOULDER,15-30,Suite Familiare,1,0,0,0.0
2024,9,SHOULDER,181+,Appartamento Area Giardino,12,0,0,0.0
2024,9,SHOULDER,181+,Appartamento Area Piscina,2,0,0,0.0
2024,9,SHOULDER,181+,Camera  Standard,12,2,2,16.666666666666668
2024,9,SHOULDER,181+,Camera Deluxe,7,0,0,0.0
2024,9,SHOULDER,181+,Camera Superior,6,0,0,0.0
2024,9,SHOULDER,181+,Villino 2Ten,2,0,0,0.0
2024,9,SHOULDER,31-60,Appartamento Area Giardino,15,3,1,6.666666666666667
2024,9,SHOULDER,31-60,Appartamento Area Piscina,31,1,1,3.225806451612903
2024,9,SHOULDER,31-60,Camera  Standard,55,5,3,5.454545454545454
2024,9,SHOULDER,31-60,Camera Deluxe,33,2,1,3.0303030303030303
2024,9,SHOULDER,31-60,Camera Superior,37,0,0,0.0
2024,9,SHOULDER,31-60,Suite Familiare,1,0,0,0.0
2024,9,SHOULDER,31-60,Suite Familiare Vista Piscina,2,1,0,0.0
2024,9,SHOULDER,31-60,Villino 2Ten,2,0,0,0.0
