stay_year,stay_month_num,room_name,treatment,action_type,recommended_action,economic_value_eur,confidence,decision_date,lead_days_to_stay_month,requests_to_date,historical_requests_same_lead,request_pace_index,timing_status,timing_reason
2025,9,Appartamento Area Piscina,,PRICE_DOWN,Change ROOM ADR -15% (173.83 → 147.75),1089.9,LOW,2025-06-11,82.0,20.0,45.0,0.44,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.44× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,9,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -15% (128.27 → 109.03),894.17,LOW,2025-05-07,117.0,20.0,25.0,0.8,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.80× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,5,Appartamento Area Piscina,,PRICE_DOWN,Change ROOM ADR -25% (178.87 → 134.15),5533.87,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,5,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -25% (179.57 → 134.68),4489.31,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,5,Camera Superior,,PRICE_DOWN,Change ROOM ADR -25% (158.72 → 119.04),2083.24,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,5,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -15% (171.24 → 145.56),995.98,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,5,Camera Deluxe,,PRICE_DOWN,Change ROOM ADR -15% (177.35 → 150.75),117.05,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,5,OTA Camera Standard,,PRICE_DOWN,Change ROOM ADR -15% (141.42 → 120.21),23.33,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,5,Villino 2Ten,,PRICE_DOWN,Change ROOM ADR -15% (112.20 → 95.37),23.14,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,5,Villino Double,,PRICE_DOWN,Change ROOM ADR -15% (110.38 → 93.82),22.77,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,5,Suite Familiare,,PRICE_DOWN,Change ROOM ADR -15% (140.00 → 119.00),17.32,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,6,Appartamento Area Giardino,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,6250.107,HIGH,2026-04-07,55.0,52.0,39.0,1.33,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.33× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,6,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -25% (175.46 → 131.60),20969.76,MEDIUM,2026-01-31,121.0,20.0,26.0,0.77,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.77× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,6,Appartamento Area Piscina,,PRICE_DOWN,Change ROOM ADR -20% (188.96 → 151.17),5236.75,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,6,Camera Deluxe,,PRICE_DOWN,Change ROOM ADR -25% (205.02 → 153.77),4997.39,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,6,Villino Double,,PRICE_DOWN,Change ROOM ADR -15% (279.35 → 237.45),698.37,HIGH,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,6,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -5% (143.88 → 136.69),251.8,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,6,OTA Camera Standard,,PRICE_DOWN,Change ROOM ADR -15% (158.50 → 134.73),39.23,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,6,Camera Superior,,PRICE_UP,Change ROOM ADR +10% (178.58 → 196.44),2822.45,LOW,2026-01-04,148.0,20.0,12.0,1.67,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.67× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,6,Villino 2Ten,,PRICE_UP,Change ROOM ADR +25% (177.57 → 221.96),610.39,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,7,Appartamento Area Piscina,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,10278.866000000002,HIGH,2026-02-20,131.0,77.0,10.0,7.7,HISTORICAL_TRIGGER_FOUND,Request pace reached 7.70× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,7,Appartamento Area Giardino,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,8868.982,HIGH,2026-04-09,83.0,80.0,64.0,1.25,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.25× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,7,Camera Superior,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,6397.431,MEDIUM,2026-01-22,160.0,24.0,10.0,2.4,HISTORICAL_TRIGGER_FOUND,Request pace reached 2.40× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,7,Camera  Standard,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,6277.462,HIGH,2026-02-10,141.0,20.0,12.0,1.67,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.67× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,7,Villino 2Ten,,PRICE_DOWN,Change ROOM ADR -25% (210.00 → 157.50),656.25,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,7,Suite Familiare Vista Piscina,,PRICE_DOWN,Change ROOM ADR -15% (428.03 → 363.83),247.19,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,7,Suite Familiare,,PRICE_DOWN,Change ROOM ADR -25% (150.00 → 112.50),93.75,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2026,7,Camera Deluxe,,PRICE_UP,Change ROOM ADR +25% (346.65 → 433.32),2383.61,MEDIUM,2026-01-05,177.0,20.0,14.0,1.43,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.43× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,7,Camera  Standard,,PRICE_UP,Change ROOM ADR +5% (213.36 → 224.03),2350.39,MEDIUM,2026-01-11,171.0,21.0,15.0,1.4,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.40× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2026,7,Villino Double,,PRICE_UP,Change ROOM ADR +25% (356.49 → 445.61),1098.23,HIGH,2026-06-10,21.0,50.0,10.0,5.0,HISTORICAL_TRIGGER_FOUND,Request pace reached 5.00× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
