stay_year,stay_month_num,season,room_name,from_treatment,to_treatment,strategy,eligible_lower_treatment_bookings,observed_higher_treatment_bookings,observed_higher_treatment_share_pct,lower_total_adr,higher_total_adr,package_adr_premium_eur,test_upgrade_rate_pct,expected_test_upgrades,economic_value_proxy_eur,confidence,action_text,note
2025,9,SHOULDER,Appartamento Area Giardino,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,6,32,74.42,145.94,214.09,68.15,10.0,0.6,149.93,MEDIUM,Appartamento Area Giardino · month 9: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2026,5,SHOULDER,Camera  Standard,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,7,22,75.86,117.13,193.98,76.85,10.0,0.7,115.27,MEDIUM,Camera  Standard · month 5: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,6,SHOULDER,Appartamento Area Giardino,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,2,48,40.0,94.71,169.8,75.09,10.0,0.2,105.12,MEDIUM,Appartamento Area Giardino · month 6: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,5,SHOULDER,Appartamento Area Piscina,Bed & Breakfast,Pensione Completa,PROMOTE_UPSELL,1,14,82.35,0.0,231.55,231.55,10.0,0.1,69.46,MEDIUM,Appartamento Area Piscina · month 5: promote Bed & Breakfast → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2026,6,SHOULDER,Appartamento Area Giardino,Only Bed,Mezza Pensione,PROMOTE_UPSELL,2,43,58.9,0.0,210.44,210.44,10.0,0.2,63.13,MEDIUM,Appartamento Area Giardino · month 6: promote Only Bed → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2026,7,PEAK,Appartamento Area Piscina,Only Bed,Mezza Pensione,PROMOTE_UPSELL,2,47,65.28,0.0,311.48,311.48,10.0,0.2,62.3,MEDIUM,Appartamento Area Piscina · month 7: promote Only Bed → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,9,SHOULDER,Appartamento Area Giardino,Only Bed,Mezza Pensione,PROMOTE_UPSELL,1,32,74.42,100.0,214.09,114.09,10.0,0.1,57.05,MEDIUM,Appartamento Area Giardino · month 9: promote Only Bed → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,8,PEAK,Camera Deluxe,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,7,20,71.43,357.54,368.92,11.38,10.0,0.7,55.78,MEDIUM,Camera Deluxe · month 8: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,6,SHOULDER,Camera Superior,Solo Pernottamento,Mezza Pensione,PROMOTE_UPSELL,1,13,38.24,0.0,136.61,136.61,10.0,0.1,54.65,MEDIUM,Camera Superior · month 6: promote Solo Pernottamento → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,6,SHOULDER,Camera Deluxe,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,8,13,52.0,203.84,218.02,14.19,10.0,0.8,51.08,MEDIUM,Camera Deluxe · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,5,SHOULDER,Appartamento Area Piscina,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,2,14,82.35,182.74,231.55,48.81,10.0,0.2,24.4,MEDIUM,Appartamento Area Piscina · month 5: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,8,PEAK,Camera  Standard,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,40,26,29.89,219.42,220.29,0.87,10.0,4.0,20.79,MEDIUM,Camera  Standard · month 8: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,9,SHOULDER,Camera Superior,No Board,Pensione Completa,PROMOTE_UPSELL,1,13,59.09,48.74,139.73,90.99,10.0,0.1,18.2,MEDIUM,Camera Superior · month 9: promote No Board → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,6,SHOULDER,Camera  Standard,No Board,Mezza Pensione,PROMOTE_UPSELL,1,32,40.0,0.0,110.41,110.41,10.0,0.1,11.04,MEDIUM,Camera  Standard · month 6: promote No Board → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,9,SHOULDER,Appartamento Area Giardino,No Board,Mezza Pensione,PROMOTE_UPSELL,1,23,53.49,73.43,128.42,54.99,10.0,0.1,5.5,MEDIUM,Appartamento Area Giardino · month 9: promote No Board → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
