stay_year,stay_month_num,room_name,treatment,action_type,action,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,economic_value_eur,economic_value_type,confidence,evidence,why
2025,6,Camera  Standard,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Camera  Standard · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,359.94,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 24.1% of bookings in this room-month; observed total-ADR premium €20.22.
2025,6,Camera  Standard,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Camera  Standard · month 6: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,243.6,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 47.0% of bookings in this room-month; observed total-ADR premium €39.93.
2025,6,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -5% (141.79 → 134.70),73.1,77.34,103.64,104.18,224.05,MODELED_REVENUE,MEDIUM,OBSERVED,BALANCED: tested price grid and selected -5% because it maximizes modeled RevPAR (103.64 -> 104.18) under the estimated price-volume response.
2025,6,Camera Deluxe,Bed & Breakfast → Pensione Completa,PROMOTE_UPSELL,Camera Deluxe · month 6: promote Bed & Breakfast → Pensione Completa to a controlled test cohort (10% target).,,,,,159.82,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 52.0% of bookings in this room-month; observed total-ADR premium €106.54.
2025,6,Camera Deluxe,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Camera Deluxe · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,51.08,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 52.0% of bookings in this room-month; observed total-ADR premium €14.19.
2025,7,Appartamento Area Giardino,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,,,,,6576.425,NON_ADDITIVE_PACKAGE_SIMULATION,MEDIUM,OBSERVED_YOY_PRICE_AND_VOLUME,Total ADR YoY +110.8% while room-night volume YoY +77.1%.
2025,7,Appartamento Area Giardino,Only Bed → Mezza Pensione,PROMOTE_UPSELL,Appartamento Area Giardino · month 7: promote Only Bed → Mezza Pensione to a controlled test cohort (10% target).,,,,,5370.41,NON_ADDITIVE_TEST_PROXY,HIGH,OBSERVED_TREATMENT_MIX,Higher board already represents 41.6% of bookings in this room-month; observed total-ADR premium €170.49.
2025,7,Appartamento Area Giardino,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Appartamento Area Giardino · month 7: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,995.34,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 41.6% of bookings in this room-month; observed total-ADR premium €148.56.
2025,7,Villino 2Ten,,PRICE_DOWN,Change ROOM ADR -25% (192.67 → 144.50),48.39,84.68,93.23,122.36,903.13,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (93.23 -> 122.36) under the estimated price-volume response.
2025,7,Villino Double,,PRICE_UP,Change ROOM ADR +25% (261.32 → 326.65),80.65,73.16,210.74,238.97,875.06,MODELED_REVENUE,HIGH,OBSERVED,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (210.74 -> 238.97) under the estimated price-volume response.
